n,error_max,cond,time_s,memory_kb
2,2.220446e-16,1.800000e+01,1.174170e-04,4.843750e+00
3,4.662937e-15,6.600000e+02,1.848340e-04,5.023438e+00
4,1.856293e-13,2.000000e+04,2.702500e-04,5.218750e+00
5,1.348077e-11,7.978880e+05,3.457080e-04,5.429688e+00
6,6.744649e-11,2.731378e+07,4.277090e-04,5.656250e+00
7,1.027970e-08,8.578881e+08,5.349170e-04,5.898438e+00
8,1.464805e-07,2.991305e+10,1.403667e-03,6.156250e+00
9,4.423674e-07,1.035542e+12,9.155410e-04,6.429688e+00
10,1.738487e-04,3.382490e+13,1.137375e-03,6.718750e+00
11,1.360004e-03,1.112401e+15,1.302083e-03,7.023438e+00
12,1.629641e-01,3.871910e+16,1.411084e-03,7.343750e+00
13,1.189463e+01,3.699298e+17,1.447041e-03,7.679688e+00
14,2.051286e+01,4.005226e+17,1.665916e-03,8.031250e+00
15,8.107721e+00,3.516643e+17,1.938583e-03,8.398438e+00
16,2.081026e+01,1.024216e+18,2.178042e-03,8.781250e+00
17,8.362143e+00,1.975281e+18,2.440125e-03,9.179688e+00
18,1.424206e+02,3.047255e+18,2.749125e-03,9.593750e+00
19,7.125562e+03,3.287421e+18,3.012584e-03,1.002344e+01
20,2.228348e+02,4.235416e+18,3.224125e-03,1.046875e+01
