start_point,rho,value
-1.2,0.01,0.4301320473116016
-1.0999999999999999,0.01,0.4299512667240607
-1.0,0.01,0.43015836201436364
-0.8999999999999999,0.01,0.4301485083718003
-0.7999999999999999,0.01,0.4301085536924722
-0.7,0.01,0.43001325999081913
-0.5999999999999999,0.01,0.42987418328691673
-0.4999999999999999,0.01,0.43015944384845156
-0.3999999999999999,0.01,0.43015944384222715
-0.29999999999999993,0.01,0.42988823265398524
-0.19999999999999996,0.01,0.4300494606969337
-0.09999999999999987,0.01,0.43013979038822464
2.220446049250313e-16,0.01,0.43015883025112717
0.10000000000000009,0.01,0.43012213727476
0.20000000000000018,0.01,0.4299372250447137
0.30000000000000004,0.01,0.4298465786453739
0.40000000000000013,0.01,0.43010701021453124
0.5000000000000002,0.01,0.43015809682723855
0.6000000000000001,0.01,0.43015968252124775
0.7000000000000002,0.01,0.43015027242800175
0.8,0.01,0.4301344619261223
-1.2,0.001,0.4301597077612656
-1.0999999999999999,0.001,0.43015963733796475
-1.0,0.001,0.43015836201436364
-0.8999999999999999,0.001,0.4301597087988492
-0.7999999999999999,0.001,0.4301597047493226
-0.7,0.001,0.4301596738320804
-0.5999999999999999,0.001,0.4301595735623583
-0.4999999999999999,0.001,0.43015944384845156
-0.3999999999999999,0.001,0.43015944384222715
-0.29999999999999993,0.001,0.43015958672312865
-0.19999999999999996,0.001,0.43015968913843156
-0.09999999999999987,0.001,0.4301597083591112
2.220446049250313e-16,0.001,0.43015883025112717
0.10000000000000009,0.001,0.43015970671089077
0.20000000000000018,0.001,0.4301596272500339
0.30000000000000004,0.001,0.43015954568956977
0.40000000000000013,0.001,0.4301597044881641
0.5000000000000002,0.001,0.4301597089977429
0.6000000000000001,0.001,0.43015968252124775
0.7000000000000002,0.001,0.43015970885780985
0.8,0.001,0.43015970796865066
-1.2,0.0001,0.4301597077612656
-1.0999999999999999,0.0001,0.4301597090019384
-1.0,0.0001,0.43015970899901224
-0.8999999999999999,0.0001,0.4301597087988492
-0.7999999999999999,0.0001,0.4301597047493226
-0.7,0.0001,0.4301597090019447
-0.5999999999999999,0.0001,0.4301597090019171
-0.4999999999999999,0.0001,0.4301597090018331
-0.3999999999999999,0.0001,0.43015970900183303
-0.29999999999999993,0.0001,0.4301597090019225
-0.19999999999999996,0.0001,0.43015970900194606
-0.09999999999999987,0.0001,0.4301597083591112
2.220446049250313e-16,0.0001,0.43015970900069783
0.10000000000000009,0.0001,0.43015970671089077
0.20000000000000018,0.0001,0.43015970900193595
0.30000000000000004,0.0001,0.43015970900190365
0.40000000000000013,0.0001,0.4301597044881641
0.5000000000000002,0.0001,0.4301597089977429
0.6000000000000001,0.0001,0.4301597090019456
0.7000000000000002,0.0001,0.43015970885780985
0.8,0.0001,0.43015970796865066
-1.2,1e-05,0.4301597090019468
-1.0999999999999999,1e-05,0.4301597090019384
-1.0,1e-05,0.43015970899901224
-0.8999999999999999,1e-05,0.4301597090019468
-0.7999999999999999,1e-05,0.43015970900194667
-0.7,1e-05,0.4301597090019447
-0.5999999999999999,1e-05,0.4301597090019171
-0.4999999999999999,1e-05,0.4301597090018331
-0.3999999999999999,1e-05,0.43015970900183303
-0.29999999999999993,1e-05,0.4301597090019225
-0.19999999999999996,1e-05,0.43015970900194606
-0.09999999999999987,1e-05,0.4301597090019467
2.220446049250313e-16,1e-05,0.43015970900069783
0.10000000000000009,1e-05,0.4301597090019467
0.20000000000000018,1e-05,0.43015970900193595
0.30000000000000004,1e-05,0.43015970900190365
0.40000000000000013,1e-05,0.4301597090019467
0.5000000000000002,1e-05,0.4301597089977429
0.6000000000000001,1e-05,0.4301597090019456
0.7000000000000002,1e-05,0.43015970885780985
0.8,1e-05,0.4301597090019467
-1.2,1e-07,0.4301597090019468
-1.0999999999999999,1e-07,0.4301597090019384
-1.0,1e-07,0.4301597090019467
-0.8999999999999999,1e-07,0.4301597090019468
-0.7999999999999999,1e-07,0.43015970900194667
-0.7,1e-07,0.4301597090019447
-0.5999999999999999,1e-07,0.4301597090019467
-0.4999999999999999,1e-07,0.4301597090019467
-0.3999999999999999,1e-07,0.4301597090019468
-0.29999999999999993,1e-07,0.4301597090019468
-0.19999999999999996,1e-07,0.43015970900194606
-0.09999999999999987,1e-07,0.4301597090019467
2.220446049250313e-16,1e-07,0.4301597090019467
0.10000000000000009,1e-07,0.4301597090019467
0.20000000000000018,1e-07,0.43015970900193595
0.30000000000000004,1e-07,0.4301597090019468
0.40000000000000013,1e-07,0.4301597090019467
0.5000000000000002,1e-07,0.4301597090019467
0.6000000000000001,1e-07,0.4301597090019456
0.7000000000000002,1e-07,0.4301597090019467
0.8,1e-07,0.4301597090019467
-1.2,1e-10,0.4301597090019467
-1.0999999999999999,1e-10,0.4301597090019467
-1.0,1e-10,0.4301597090019467
-0.8999999999999999,1e-10,0.4301597090019467
-0.7999999999999999,1e-10,0.4301597090019467
-0.7,1e-10,0.4301597090019468
-0.5999999999999999,1e-10,0.4301597090019467
-0.4999999999999999,1e-10,0.4301597090019467
-0.3999999999999999,1e-10,0.4301597090019468
-0.29999999999999993,1e-10,0.4301597090019468
-0.19999999999999996,1e-10,0.4301597090019468
-0.09999999999999987,1e-10,0.4301597090019468
2.220446049250313e-16,1e-10,0.4301597090019467
0.10000000000000009,1e-10,0.4301597090019468
0.20000000000000018,1e-10,0.4301597090019467
0.30000000000000004,1e-10,0.4301597090019468
0.40000000000000013,1e-10,0.4301597090019468
0.5000000000000002,1e-10,0.4301597090019467
